,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
96,2021-01-10,,180513.52283138238,253413.21474405608,,13262.247243968808,18618.15478480237,,1459.759766708398,2049.278134032944,,270.218599589264,379.3453417310822
97,2021-01-11,,174331.54360014055,247574.41864608537,,12828.991324074395,18218.906362456088,,1413.197337918497,2006.9317470730252,,261.6279804599585,371.54719006269033
98,2021-01-12,,168328.04602799413,241828.011545091,,12406.92849702964,17824.37875694122,,1367.7657434807707,1964.9967893671114,,253.24412244534858,363.82245271388285
99,2021-01-13,,162499.81586143308,236174.90411264225,,11995.943113094922,17434.731845430404,,1323.4584222194042,1923.495508642726,,245.06596729401883,356.17536561574286
100,2021-01-14,,156843.56596456512,230615.83612181112,,11595.908519730041,17050.11055074931,,1280.2673225784558,1882.4483952536978,,237.0921836628622,348.60985107741
101,2021-01-15,,151355.94893354145,225151.3867220343,,11206.688155797794,16670.645565092243,,1238.1830319734938,1841.8742614929088,,229.32115072223547,341.12947296491745
102,2021-01-16,,146033.5668361856,219781.9813506521,,10828.13642246622,16296.453814172606,,1197.1948803124458,1801.7902908109156,,221.75104247370385,333.7375408772577
103,2021-01-17,,140872.98197482538,214507.90090818517,,10460.09964030435,15927.639109202086,,1157.2910535096428,1762.2121087245725,,214.37979864305402,326.43704959875737
104,2021-01-18,,135870.72636479215,209329.2898059197,,10102.416908504523,15564.292716761038,,1118.4586958569937,1723.1538444300843,,207.2051628239787,319.2307183345038
105,2021-01-19,,131023.31107739786,204246.16455565704,,9754.920959382634,15206.493982742837,,1080.684012024032,1684.6281988870016,,200.22468784431803,312.12098217696655
106,2021-01-20,,126327.23350853332,199258.41986397523,,9417.438844766884,14854.310755147764,,1043.9523498218127,1646.6464899251273,,193.4357909306608,305.1100619834134
107,2021-01-21,,121778.98436563907,194365.83485979986,,9089.792609086293,14507.79983402454,,1008.2482814829427,1609.218700560003,,186.8357618921521,298.19996472298834
108,2021-01-22,,117375.05959539916,189568.08788210913,,8771.800374968403,14167.00813697826,,973.555732523475,1572.3536098496293,,180.42163343023736,291.39226152331224
109,2021-01-23,,113111.96295530414,184864.75715877424,,8463.276652825532,13831.972696029929,,939.8580219077851,1536.0587902834297,,174.19043149873815,284.6884712903508
