,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
197,31-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1126,1.8785,0.1302,0.1136,0.578,0.3962
198,31-01-2021,Totale vaccinazioni,2512113.0,4884965.0,1981744.0,1609261.0,9790576.0,31123299.0
199,31-01-2021,Totale vaccinazioni ogni cento abitanti,3.0,56.44,3.28,3.44,14.42,9.31
200,01-02-2021,Vaccinazioni giornaliere,96570.0,148204.0,80717.0,54548.0,402534.0,1355451.0
201,01-02-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1153,1.7122,0.1335,0.1167,0.593,0.4053
202,01-02-2021,Totale vaccinazioni,2624051.0,5001808.0,2063615.0,1673054.0,10143511.0,32222402.0
203,01-02-2021,Totale vaccinazioni ogni cento abitanti,3.13,57.79,3.41,3.58,14.94,9.63
204,02-02-2021,Vaccinazioni giornaliere,99506.0,133669.0,81333.0,58331.0,411699.0,1319981.0
205,02-02-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1188,1.5443,0.1345,0.1248,0.6065,0.3947
206,02-02-2021,Totale vaccinazioni,2745944.0,5101949.0,2147136.0,1764778.0,10520433.0,32780860.0
207,02-02-2021,Totale vaccinazioni ogni cento abitanti,3.28,58.94,3.55,3.77,15.5,9.8
208,03-02-2021,Vaccinazioni giornaliere,101586.0,120348.0,84759.0,67103.0,434171.0,1317946.0
209,03-02-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1212,1.3904,0.1402,0.1435,0.6396,0.3941
210,03-02-2021,Totale vaccinazioni,2870810.0,5209561.0,2240944.0,1865342.0,10992444.0,33878254.0
211,03-02-2021,Totale vaccinazioni ogni cento abitanti,3.43,60.19,3.71,3.99,16.19,10.13
212,04-02-2021,Vaccinazioni giornaliere,104110.0,108747.0,85148.0,,,1287147.0
213,04-02-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1243,1.2564,0.1408,,,0.3849
214,04-02-2021,Totale vaccinazioni,2987398.0,5336910.0,2335997.0,,,35203710.0
215,04-02-2021,Totale vaccinazioni ogni cento abitanti,3.57,61.66,3.86,,,10.53
