,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
623,26-03-2021,Totale vaccinazioni ogni cento abitanti,15.18,113.11,15.34,15.12,48.41,40.64
628,27-03-2021,Totale vaccinazioni,13016306.0,9948038.0,9503109.0,,33684114.0,140180735.0
629,27-03-2021,Totale vaccinazioni ogni cento abitanti,15.51,113.18,15.74,,49.39,41.68
634,28-03-2021,Totale vaccinazioni,13212961.0,9954628.0,9666927.0,,34125256.0,143462691.0
635,28-03-2021,Totale vaccinazioni ogni cento abitanti,15.75,113.25,16.01,,50.03,42.66
640,29-03-2021,Totale vaccinazioni,13518954.0,9991276.0,9910815.0,7571439.0,34530295.0,145812835.0
641,29-03-2021,Totale vaccinazioni ogni cento abitanti,16.11,113.67,16.42,16.2,50.63,43.35
646,30-03-2021,Totale vaccinazioni,13848283.0,10021181.0,10181164.0,7736611.0,35033894.0,147602345.0
647,30-03-2021,Totale vaccinazioni ogni cento abitanti,16.51,114.01,16.87,16.55,51.36,43.89
652,31-03-2021,Totale vaccinazioni,14185073.0,10048405.0,10488149.0,8035160.0,35660902.0,150273292.0
653,31-03-2021,Totale vaccinazioni ogni cento abitanti,16.91,114.32,17.37,17.19,52.28,44.68
658,01-04-2021,Totale vaccinazioni,14512300.0,10074833.0,10776393.0,8342155.0,36277136.0,153631404.0
659,01-04-2021,Totale vaccinazioni ogni cento abitanti,17.3,114.62,17.85,17.85,53.19,45.68
664,02-04-2021,Totale vaccinazioni,14738353.0,10085572.0,11059602.0,,36631187.0,157606463.0
665,02-04-2021,Totale vaccinazioni ogni cento abitanti,17.57,114.74,18.32,,53.71,46.86
670,03-04-2021,Totale vaccinazioni,14970488.0,10089791.0,11290156.0,8548598.0,36917986.0,161688422.0
671,03-04-2021,Totale vaccinazioni ogni cento abitanti,17.84,114.79,18.7,18.29,54.13,48.08
676,04-04-2021,Totale vaccinazioni,15163686.0,10122067.0,11386382.0,,37013749.0,165053746.0
677,04-04-2021,Totale vaccinazioni ogni cento abitanti,18.07,115.16,18.86,,54.27,49.08
682,05-04-2021,Totale vaccinazioni,15411923.0,10153352.0,11557479.0,8743694.0,37119083.0,167187795.0
683,05-04-2021,Totale vaccinazioni ogni cento abitanti,18.37,115.51,19.15,18.71,54.42,49.71
688,06-04-2021,Totale vaccinazioni,15786047.0,10178697.0,11843868.0,9021001.0,37391103.0,168592075.0
689,06-04-2021,Totale vaccinazioni ogni cento abitanti,18.82,115.8,19.62,19.3,54.82,50.13
694,07-04-2021,Totale vaccinazioni,16454477.0,10202469.0,12177041.0,9357847.0,37899029.0,171476655.0
695,07-04-2021,Totale vaccinazioni ogni cento abitanti,19.61,116.07,20.17,20.02,55.56,50.99
700,08-04-2021,Totale vaccinazioni,17153763.0,10228423.0,12516604.0,9811529.0,38444540.0,174879716.0
701,08-04-2021,Totale vaccinazioni ogni cento abitanti,20.45,116.37,20.73,20.99,56.36,52.0
706,09-04-2021,Totale vaccinazioni,17786593.0,10237852.0,12852505.0,10231825.0,39001554.0,178837781.0
707,09-04-2021,Totale vaccinazioni ogni cento abitanti,21.2,116.47,21.29,21.89,57.18,53.17
712,10-04-2021,Totale vaccinazioni,18159567.0,10242779.0,13174213.0,,39587893.0,183467709.0
713,10-04-2021,Totale vaccinazioni ogni cento abitanti,21.64,116.53,21.82,,58.04,54.55
718,11-04-2021,Totale vaccinazioni,18423787.0,10265780.0,13376581.0,,39846781.0,187047131.0
719,11-04-2021,Totale vaccinazioni ogni cento abitanti,21.96,116.79,22.16,,58.42,55.62
724,12-04-2021,Totale vaccinazioni,18842734.0,10287517.0,13644411.0,10784997.0,40107877.0,189692045.0
725,12-04-2021,Totale vaccinazioni ogni cento abitanti,22.46,117.04,22.6,23.07,58.8,56.4
730,13-04-2021,Totale vaccinazioni,19419946.0,10297907.0,13934397.0,11073657.0,40496685.0,192282781.0
731,13-04-2021,Totale vaccinazioni ogni cento abitanti,23.15,117.16,23.08,23.69,59.37,57.17
736,14-04-2021,Totale vaccinazioni,20195508.0,10306454.0,14256273.0,11436073.0,40958303.0,194791836.0
737,14-04-2021,Totale vaccinazioni ogni cento abitanti,24.07,117.26,23.62,24.46,60.05,57.92
742,15-04-2021,Totale vaccinazioni,20876230.0,10307321.0,14608861.0,11885085.0,41505768.0,198317040.0
743,15-04-2021,Totale vaccinazioni ogni cento abitanti,24.88,117.26,24.2,25.43,60.85,58.97
748,16-04-2021,Totale vaccinazioni,21473216.0,10316980.0,14989780.0,12330755.0,42140989.0,202282923.0
749,16-04-2021,Totale vaccinazioni ogni cento abitanti,25.59,117.37,24.83,26.38,61.78,60.15
754,17-04-2021,Totale vaccinazioni,21839606.0,10319639.0,15350396.0,,42780069.0,205871913.0
755,17-04-2021,Totale vaccinazioni ogni cento abitanti,26.03,117.41,25.43,,62.72,61.21
760,18-04-2021,Totale vaccinazioni,22109415.0,10333955.0,15593065.0,,43084487.0,209406814.0
761,18-04-2021,Totale vaccinazioni ogni cento abitanti,26.35,117.57,25.83,,63.17,62.26
766,19-04-2021,Totale vaccinazioni,22511969.0,10347138.0,15904623.0,12853599.0,43457910.0,211581309.0
767,19-04-2021,Totale vaccinazioni ogni cento abitanti,26.83,117.72,26.35,27.5,63.71,62.91
772,20-04-2021,Totale vaccinazioni,23073058.0,10359883.0,16238995.0,13041032.0,43915559.0,213388238.0
773,20-04-2021,Totale vaccinazioni ogni cento abitanti,27.5,117.86,26.9,27.9,64.39,63.45
778,21-04-2021,Totale vaccinazioni,23794718.0,10372942.0,16612876.0,13497809.0,44450252.0,215951909.0
779,21-04-2021,Totale vaccinazioni ogni cento abitanti,28.36,118.01,27.52,28.88,65.17,64.21
784,22-04-2021,Totale vaccinazioni,24433657.0,10386164.0,17013012.0,13909964.0,45012308.0,218947643.0
785,22-04-2021,Totale vaccinazioni ogni cento abitanti,29.12,118.16,28.18,29.76,65.99,65.1
790,23-04-2021,Totale vaccinazioni,24990302.0,10391985.0,17418960.0,14266251.0,45613109.0,222322230.0
791,23-04-2021,Totale vaccinazioni ogni cento abitanti,29.79,118.23,28.85,30.52,66.87,66.1
796,24-04-2021,Totale vaccinazioni,25356254.0,10393880.0,17806705.0,,46309512.0,225640460.0
797,24-04-2021,Totale vaccinazioni ogni cento abitanti,30.22,118.25,29.5,,67.9,67.09
802,25-04-2021,Totale vaccinazioni,25639542.0,10405423.0,18074919.0,14715931.0,46650008.0,228661408.0
803,25-04-2021,Totale vaccinazioni ogni cento abitanti,30.56,118.38,29.94,31.48,68.39,67.99
808,26-04-2021,Totale vaccinazioni,26072940.0,10418482.0,18420005.0,14994667.0,47045391.0,230768454.0
809,26-04-2021,Totale vaccinazioni ogni cento abitanti,31.08,118.53,30.51,32.08,68.97,68.61
