,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
414,26-03-2021,Totale vaccinazioni,12694696.0,9937231.0,9228385.0,7067371.0,33020952.0,136684688.0
415,26-03-2021,Totale vaccinazioni ogni cento abitanti,15.15,114.81,15.26,15.12,48.64,40.87
418,27-03-2021,Totale vaccinazioni,12975915.0,9943141.0,9469212.0,,33684114.0,140180735.0
419,27-03-2021,Totale vaccinazioni ogni cento abitanti,15.49,114.88,15.66,,49.62,41.91
422,28-03-2021,Totale vaccinazioni,13172304.0,9949728.0,9632677.0,,34125256.0,143462691.0
423,28-03-2021,Totale vaccinazioni ogni cento abitanti,15.72,114.95,15.93,,50.27,42.9
426,29-03-2021,Totale vaccinazioni,13477871.0,9986362.0,9875952.0,7571439.0,34530295.0,145812835.0
427,29-03-2021,Totale vaccinazioni ogni cento abitanti,16.09,115.38,16.33,16.19,50.87,43.6
430,30-03-2021,Totale vaccinazioni,13806883.0,10016254.0,10144974.0,7736611.0,35033894.0,147602345.0
431,30-03-2021,Totale vaccinazioni ogni cento abitanti,16.48,115.72,16.78,16.55,51.61,44.13
434,31-03-2021,Totale vaccinazioni,14143080.0,10043454.0,10450853.0,8035160.0,35660902.0,150273292.0
435,31-03-2021,Totale vaccinazioni ogni cento abitanti,16.88,116.03,17.29,17.19,52.53,44.93
438,01-04-2021,Totale vaccinazioni,14469705.0,10069866.0,10738106.0,8342155.0,36277136.0,153631404.0
439,01-04-2021,Totale vaccinazioni ogni cento abitanti,17.27,116.34,17.76,17.84,53.44,45.94
442,02-04-2021,Totale vaccinazioni,14695381.0,10080599.0,11020501.0,,36631187.0,157606463.0
443,02-04-2021,Totale vaccinazioni ogni cento abitanti,17.54,116.46,18.23,,53.96,47.13
446,03-04-2021,Totale vaccinazioni,14927198.0,10084817.0,11250597.0,8548598.0,36917986.0,161688422.0
447,03-04-2021,Totale vaccinazioni ogni cento abitanti,17.82,116.51,18.61,18.28,54.38,48.35
450,04-04-2021,Totale vaccinazioni,15120129.0,10117075.0,11346670.0,,37013749.0,165053746.0
451,04-04-2021,Totale vaccinazioni ogni cento abitanti,18.05,116.89,18.77,,54.52,49.35
454,05-04-2021,Totale vaccinazioni,15367926.0,10148331.0,11517472.0,8743694.0,37119083.0,167187795.0
455,05-04-2021,Totale vaccinazioni ogni cento abitanti,18.34,117.25,19.05,18.7,54.68,49.99
458,06-04-2021,Totale vaccinazioni,15741645.0,10173658.0,11802696.0,9021001.0,37391103.0,168592075.0
459,06-04-2021,Totale vaccinazioni ogni cento abitanti,18.79,117.54,19.52,19.29,55.08,50.41
462,07-04-2021,Totale vaccinazioni,16409577.0,10197421.0,12129018.0,9357847.0,37899029.0,171476655.0
463,07-04-2021,Totale vaccinazioni ogni cento abitanti,19.59,117.81,20.06,20.01,55.83,51.27
466,08-04-2021,Totale vaccinazioni,17108176.0,10223333.0,12465724.0,9811529.0,38444540.0,174879716.0
467,08-04-2021,Totale vaccinazioni ogni cento abitanti,20.42,118.11,20.62,20.99,56.63,52.29
470,09-04-2021,Totale vaccinazioni,17739787.0,10232758.0,12800908.0,10231825.0,39001554.0,178837781.0
471,09-04-2021,Totale vaccinazioni ogni cento abitanti,21.17,118.22,21.17,21.88,57.45,53.47
474,10-04-2021,Totale vaccinazioni,18112362.0,10237678.0,13122079.0,,39587893.0,183467709.0
475,10-04-2021,Totale vaccinazioni ogni cento abitanti,21.62,118.28,21.7,,58.32,54.86
478,11-04-2021,Totale vaccinazioni,18376274.0,10260665.0,13324103.0,,39846781.0,187047131.0
479,11-04-2021,Totale vaccinazioni ogni cento abitanti,21.93,118.54,22.04,,58.7,55.93
482,12-04-2021,Totale vaccinazioni,18794802.0,10282393.0,13591302.0,10784997.0,40107877.0,189692045.0
483,12-04-2021,Totale vaccinazioni ogni cento abitanti,22.43,118.8,22.48,23.07,59.08,56.72
486,13-04-2021,Totale vaccinazioni,19371565.0,10292776.0,13880004.0,11073657.0,40496685.0,192282781.0
487,13-04-2021,Totale vaccinazioni ogni cento abitanti,23.12,118.92,22.96,23.68,59.65,57.49
490,14-04-2021,Totale vaccinazioni,20146436.0,10301312.0,14200685.0,11436073.0,40958303.0,194791836.0
491,14-04-2021,Totale vaccinazioni ogni cento abitanti,24.05,119.01,23.49,24.46,60.33,58.24
494,15-04-2021,Totale vaccinazioni,20826555.0,10302175.0,14552444.0,11885085.0,41505768.0,198317040.0
495,15-04-2021,Totale vaccinazioni ogni cento abitanti,24.86,119.02,24.07,25.42,61.14,59.3
498,16-04-2021,Totale vaccinazioni,21423017.0,10311825.0,14932418.0,12330755.0,42140989.0,202282923.0
499,16-04-2021,Totale vaccinazioni ogni cento abitanti,25.57,119.14,24.7,26.37,62.08,60.48
502,17-04-2021,Totale vaccinazioni,21789002.0,10314480.0,15292376.0,,42780069.0,205871913.0
503,17-04-2021,Totale vaccinazioni ogni cento abitanti,26.01,119.17,25.29,,63.02,61.56
506,18-04-2021,Totale vaccinazioni,22058421.0,10328796.0,15534700.0,,43084487.0,209406814.0
507,18-04-2021,Totale vaccinazioni ogni cento abitanti,26.33,119.33,25.69,,63.47,62.61
510,19-04-2021,Totale vaccinazioni,22460669.0,10341971.0,15845526.0,12853599.0,43457910.0,211581309.0
511,19-04-2021,Totale vaccinazioni ogni cento abitanti,26.81,119.48,26.21,27.49,64.02,63.26
514,20-04-2021,Totale vaccinazioni,23021330.0,10354702.0,16179054.0,13041032.0,43915559.0,213388238.0
515,20-04-2021,Totale vaccinazioni ogni cento abitanti,27.48,119.63,26.76,27.89,64.69,63.8
518,21-04-2021,Totale vaccinazioni,23742149.0,10367754.0,16552172.0,13497809.0,44450252.0,215951909.0
519,21-04-2021,Totale vaccinazioni ogni cento abitanti,28.34,119.78,27.38,28.87,65.48,64.57
522,22-04-2021,Totale vaccinazioni,24380604.0,10380962.0,16951416.0,13909964.0,45012308.0,218947643.0
523,22-04-2021,Totale vaccinazioni ogni cento abitanti,29.1,119.93,28.04,29.75,66.31,65.47
526,23-04-2021,Totale vaccinazioni,24936765.0,10386778.0,17356359.0,14266251.0,45613109.0,222322230.0
527,23-04-2021,Totale vaccinazioni ogni cento abitanti,29.76,120.0,28.71,30.51,67.19,66.48
530,24-04-2021,Totale vaccinazioni,25302286.0,10388670.0,17743354.0,,46309512.0,225640460.0
531,24-04-2021,Totale vaccinazioni ogni cento abitanti,30.2,120.02,29.35,,68.22,67.47
534,25-04-2021,Totale vaccinazioni,25585148.0,10400211.0,18011258.0,14715931.0,46650008.0,228661408.0
535,25-04-2021,Totale vaccinazioni ogni cento abitanti,30.54,120.16,29.79,31.47,68.72,68.37
538,26-04-2021,Totale vaccinazioni,26018032.0,10413267.0,18355832.0,14994667.0,47045391.0,230768454.0
539,26-04-2021,Totale vaccinazioni ogni cento abitanti,31.05,120.31,30.36,32.07,69.3,69.0
