,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
211,17-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.092,0.9888,0.1298,0.1502,0.3847,0.2452
212,17-01-2021,total_boosters,,,,,,
213,17-01-2021,total_boosters_per_hundred,,,,,,
214,17-01-2021,Totale vaccinazioni,1219193.0,2541919.0,1228858.0,,4514802.0,
215,17-01-2021,Totale vaccinazioni ogni cento abitanti,1.45,28.92,2.04,,6.62,
216,18-01-2021,Vaccinazioni giornaliere,79252.0,108282.0,72989.0,70264.0,268518.0,837595.0
217,18-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0945,1.2319,0.1209,0.1503,0.3937,0.249
218,18-01-2021,total_boosters,,,,,,
219,18-01-2021,total_boosters_per_hundred,,,,,,
220,18-01-2021,Totale vaccinazioni,1302024.0,2731786.0,1273232.0,897942.0,4723443.0,
221,18-01-2021,Totale vaccinazioni ogni cento abitanti,1.55,31.08,2.11,1.92,6.93,
222,19-01-2021,Vaccinazioni giornaliere,85053.0,129816.0,65889.0,68282.0,286118.0,911493.0
223,19-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1014,1.4769,0.1091,0.1461,0.4195,0.271
224,19-01-2021,total_boosters,,,,,,
225,19-01-2021,total_boosters_per_hundred,,,,,,
226,19-01-2021,Totale vaccinazioni,1421545.0,2942090.0,1306535.0,966097.0,5070365.0,15707588.0
227,19-01-2021,Totale vaccinazioni ogni cento abitanti,1.69,33.47,2.16,2.07,7.43,4.67
228,20-01-2021,Vaccinazioni giornaliere,88006.0,145726.0,56723.0,63471.0,297294.0,892403.0
229,20-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1049,1.6579,0.094,0.1358,0.4359,0.2653
230,20-01-2021,total_boosters,,,,,,
231,20-01-2021,total_boosters_per_hundred,,,,,,
232,20-01-2021,Totale vaccinazioni,1554053.0,3162229.0,1337721.0,1025937.0,5437284.0,16525281.0
233,20-01-2021,Totale vaccinazioni ogni cento abitanti,1.85,35.98,2.22,2.19,7.97,4.91
234,21-01-2021,Vaccinazioni giornaliere,91077.0,161266.0,48370.0,61016.0,310246.0,913912.0
235,21-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1086,1.8347,0.0801,0.1305,0.4549,0.2717
236,21-01-2021,total_boosters,1.0,,,,,
237,21-01-2021,total_boosters_per_hundred,0.0,,,,,
238,21-01-2021,Totale vaccinazioni,1659452.0,3396120.0,1373874.0,1103301.0,5849899.0,17546374.0
